id,Distance,Zb,Nonuniform,Unsteady Collacated,Unsteady Staggered
7172,3586.0,8.898458748156752,3.0513753377338726,3.180165629992564,3.1181172626762694
7173,3586.5,9.034387903302289,2.8256556518400204,3.087982698667247,2.9824023574968206
7174,3587.0,8.934109074423064,2.9989254021846374,3.20075841208496,3.112993047768506
7175,3587.5,8.868969378802591,3.102356803174144,3.1968681142245865,3.146132922900441
7176,3588.0,9.060876075383744,2.783126680562482,3.0291227000946477,2.928441656317966
7177,3588.5,9.001589038482226,2.892810524762313,3.076928263560925,2.995208016404853
7178,3589.0,9.057907093488916,2.7939840271212897,3.0689723313983652,2.9600037042621365
7179,3589.5,8.949120296450669,2.9850998792483843,3.191642863047685,3.103314877841375
7180,3590.0,8.909869699939803,3.049364135269171,3.22134474897004,3.1447670049111576
7181,3590.5,8.938335816998233,3.006119069867486,3.1915596485678877,3.1103575361640012
7182,3591.0,8.944452416599795,2.9981500277648228,3.184622677563857,3.1031944131254776
7183,3591.5,8.955901246239371,2.9815210145968396,3.1856205567073173,3.098181779910169
7184,3592.0,8.926253552783377,3.0308460040008716,3.217060645216622,3.1351283889601573
7185,3592.5,8.90282344617066,3.069145435769066,3.1970194023390586,3.135453880484995
7186,3593.0,9.04780464529652,2.8299873654996066,3.107098160159168,2.9960085281058775
7187,3593.5,8.88803992214536,3.0956100007334886,3.225261799799948,3.162004390685676
7188,3594.0,8.99238047651224,2.930885992760417,3.102296327593923,3.0242555454955395
7189,3594.5,9.050305611750892,2.8321511589179234,3.062524863821995,2.9660919157311336
7190,3595.0,9.008830561939742,2.907515111053525,3.1017851391617337,3.0167512964632506
7191,3595.5,9.030046593305446,2.8730343084680277,3.1047156526001545,3.0080305873627418
7192,3596.0,8.97233634465805,2.972796770690547,3.1618775346352193,3.079028015828959
7193,3596.5,8.98661012188394,2.951280181942105,3.1668970315767226,3.075268268767882
7194,3597.0,8.937475115286984,3.032562755448545,3.214325225232777,3.1340398131557263
7195,3597.5,8.950177159558237,3.0142106530849127,3.2118177117461113,3.1255998791412964
7196,3598.0,8.905873094525584,3.085131252332129,3.2170580035984044,3.153798387092101
7197,3598.5,9.023661274130513,2.8963754415263954,3.120239494427235,3.0260779068833386
7198,3599.0,8.984544548805673,2.9642931627498874,3.181374536257457,3.0889991790526103
7199,3599.5,8.921908730153115,3.0659239264991456,3.2313947513056336,3.156109814570878
7200,3600.0,8.942156580431547,3.0360258342232074,3.1760533882472175,3.1093543908267507
7201,3600.5,9.034349013382968,2.8860034446778458,3.082006430314763,2.996377947164012
7202,3601.0,9.039956678745812,2.8785326048674156,3.0729036811751,2.987745773163276
7203,3601.5,9.04697680298337,2.868556040628578,3.0579311467855335,2.9744757827781676
